response.id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom,consent,"PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT174, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT126, PSTAT131, PSTAT134","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, PSTAT174, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9, CS16, ECE180","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT160A-B, CS9, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT174, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131","PSTAT120A-B, PSTAT126, PSTAT160A-B, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, CS5A-B, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, PSTAT175","PSTAT120A-B, PSTAT160A-B, CS16, CS130A-B, CS165A-B","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, CS9","PSTAT100, PSTAT120A-B, PSTAT126","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9, LING110, ECE180","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS5A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9","PSTAT120A-B, PSTAT122, PSTAT126, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9, CS16","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT160A-B, CS9, ECON145","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9",rsrch
18,Int,5,Int,4,Adv,5,6-8,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
19,Adv,4,Adv,4,Adv,3,9+,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
20,Int,3,Adv,5,Int,4,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
21,Int,4,Int,3,Int,3,3-5,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
22,Adv,4,Adv,3,Adv,2,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
23,Adv,3,Adv,5,Adv,5,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
24,Adv,4,Adv,4,Adv,5,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
25,Adv,4,Adv,4,Adv,5,3-5,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
26,Adv,5,Beg,2,Int,3,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
27,Adv,4,Adv,4,Adv,4,9+,Unsure,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,TRUE
28,Adv,5,Adv,5,Adv,5,9+,No,Yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
29,Int,3,Int,3,Int,3,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
30,Int,4,Int,3,Int,3,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
32,Adv,5,Adv,5,Adv,4,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,TRUE
33,Int,3,Int,3,Int,3,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,FALSE
34,Int,4,Int,5,Int,4,6-8,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,TRUE
35,Int,3,Int,3,Int,3,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,TRUE
36,Int,4,Adv,5,Adv,5,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
37,Int,2,Int,3,Adv,4,3-5,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,FALSE
38,Int,3,Int,3,Int,3,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
39,Int,3,Adv,4,Adv,4,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,FALSE
40,Adv,4,Adv,4,Adv,5,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,FALSE
41,Adv,5,Adv,4,Int,4,9+,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,TRUE
42,Int,3,Beg,2,Int,4,9+,Unsure,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,FALSE
43,Int,2,Int,2,Int,2,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,TRUE
